#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,,,,,
122,Uganda,"170,558",,"3,630                                ",,"100,431",,"66,497",3,"3,522",75,"3,012,408","62,198","48,432,863 ",Africa,,"28413,34216",,,,,
123,Jamaica,"154,416",,"3,514                                ",,"102,529",,"48,373",,"51,729","1,177","1,183,986","396,633","2,985,094 ",North America,,198493,,,,,
124,Cambodia,"138,721",,"3,056                                ",,"135,663",,2,,"8,080",178,"3,091,420","180,062","17,168,639 ",Asia,,"1245,6186",,,,,
125,Rwanda,"133,194",,"1,468                                ",,"131,647",,79,,"9,793",108,"6,021,981","442,778","13,600,464 ",Africa,,"1029,2652",,,,,
126,Cameroon,"124,605",,"1,966                                ",,"122,434",,205,13,"4,464",70,"1,751,774","62,762","27,911,548 ",Africa,,"22414,19716",,,,,
127,Malta,"117,749",,829                                ,,"116,248",,672,4,"265,181","1,867","2,119,315","4,772,877","444,033 ",Europe,,45360,,,,,
128,Barbados,"106,798",,579                                ,,"106,211",,8,,"370,797","2,010","794,426","2,758,203","288,023 ",North America,,34970,,,,,
129,Angola,"105,298",,"1,933                                ",,"103,342",,23,,"3,006",55,"1,499,795","42,818","35,027,343 ",Africa,,"33318,12123",,,,,
130,Channel Islands,"101,530",,228                                ,,"101,161",,141,,"575,361","1,292","1,252,808","7,099,551","176,463 ",Europe,,27740,,,,,
131,French Guiana,"98,041",,420                                ,,"11,254",,"86,367",6,"312,065","1,337","651,257","2,072,951","314,169 ",South America,,37480,,,,,
132,DRC,"95,815",,"1,464                                ",,"84,379",,"9,972",,"1,006",15,"846,704","8,890","95,240,792 ",Africa,,"99465,055112",,,,,
133,Senegal,"88,933",,"1,971                                ",,"86,947",,15,,"5,038",112,"1,146,543","64,946","17,653,671 ",Africa,,"1998,95715",,,,,
134,Malawi,"88,707",,"2,686                                ",,"85,583",,438,67,"4,396",133,"624,784","30,959","20,180,839 ",Africa,,"2277,51332",,,,,
135,Ivory Coast,"88,286",,834                                ,,"87,426",,26,,"3,182",30,"1,682,496","60,647","27,742,298 ",Africa,,"31433,26416",,,,,
136,Suriname,"82,467",,"1,404                                ",,N/A,N/A,N/A,,"138,175","2,352","241,357","404,398","596,831 ",South America,,74252,,,,,
137,New Caledonia,"79,896",,314                                ,,"79,567",,15,9,"274,637","1,079","98,964","340,182","290,915 ",Australia/Oceania,,49263,,,,,
138,French Polynesia,"78,077",,649                                ,,N/A,N/A,N/A,7,"274,760","2,284",,,"284,164 ",Australia/Oceania,,4438,,,,,
139,Eswatini,"74,323",,"1,425                                ",,"72,824",,74,,"62,730","1,203","1,048,704","885,119","1,184,817 ",Africa,,168311,,,,,
140,Guyana,"73,093",,"1,298                                ",,"71,782",,13,,"92,051","1,635","723,506","911,165","794,045 ",South America,,116121,,,,,
141,Belize,"70,782",,688                                ,,"70,085",,9,6,"171,722","1,669","576,016","1,397,453","412,190 ",North America,,65991,,,,,
142,Fiji,"68,904",,883                                ,,"67,012",,"1,009",,"75,763",971,"669,371","736,004","909,466 ",Australia/Oceania,,"131,0301",,,,,
