S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close
198,SGHC,388.00,-1.00,-0.26,381.70,391.00,381.70,"2,910.00",389.00
199,SGIC,455.00,1.00,0.22,450.20,463.00,450.20,"2,000.00",454.00
200,SHEL,315.10,-2.90,-0.91,318.00,324.30,313.60,"4,570.00",318.00
201,SHINE,333.10,1.40,0.42,334.00,336.00,332.10,"3,744.00",331.70
202,SHIVM,427.00,2.00,0.47,430.00,433.00,424.00,"59,281.00",425.00
203,SHL,225.00,3.40,1.53,222.50,225.00,222.10,"4,567.00",221.60
204,SHLB,"1,390.00",0.00,0.00,"1,390.00","1,409.00","1,381.10",250.00,"1,390.00"
205,SHPC,321.00,2.00,0.63,323.70,324.00,319.60,"39,967.00",319.00
206,SICL,753.00,3.00,0.40,755.00,755.00,744.00,"1,288.00",750.00
207,SIFC,322.20,-1.80,-0.56,326.00,330.00,322.10,"1,394.00",324.00
208,SIGS2,7.86,-0.05,-0.63,7.84,7.90,7.84,"26,000.00",7.91
209,SIKLES,456.00,-3.00,-0.65,456.50,459.90,455.00,"1,738.00",459.00
210,SINDU,268.10,5.10,1.94,261.30,268.20,261.30,"1,130.00",263.00
211,SJCL,306.60,0.60,0.20,302.00,308.80,302.00,"2,870.00",306.00
212,SJLIC,446.00,1.90,0.43,444.20,451.80,444.20,"6,590.00",444.10
213,SKBBL,828.10,2.00,0.24,827.00,835.00,826.20,752.00,826.10
214,SLBBL,608.90,6.80,1.13,606.00,610.00,605.00,540.00,602.10
215,SLBSL,898.00,18.00,2.05,897.00,914.00,897.00,183.00,880.00
216,SLCF,7.23,0.14,1.97,7.06,7.23,7.06,500.00,7.09
217,SLI,399.30,-3.70,-0.92,398.10,405.00,393.00,"1,054.00",403.00
218,SMB,969.90,18.90,1.99,969.90,969.90,969.90,10.00,951.00
219,SMFBS,982.30,-35.70,-3.51,"1,000.00","1,000.00",982.00,376.00,"1,018.00"
220,SMFDB,942.00,-9.00,-0.95,951.00,951.00,942.00,120.00,951.00
221,SMHL,395.00,-4.00,-1.00,395.00,400.00,392.10,"7,540.00",399.00
222,SPC,486.00,-2.00,-0.41,497.00,499.80,483.20,"1,586.00",488.00
223,SPDL,308.40,0.00,0.00,311.90,314.00,308.40,"2,318.00",308.40
224,SPHL,451.00,-7.00,-1.53,459.00,463.50,451.00,"2,080.00",458.00
225,SPL,587.00,19.40,3.42,565.00,610.90,534.40,"14,503.00",567.60
226,SRBL,182.00,-1.00,-0.55,183.00,184.60,181.50,"2,304.00",183.00
227,SSHL,233.00,2.00,0.87,228.10,236.80,228.10,"19,994.00",231.00
